"region_walkscore_id","region_type_id","region_table_id","walk_score","transit_score","bike_score","jobs","population"
2439,6,23232,33.8766,,,38085.2,67513.4
2839,6,10305,21.1007,,,32347.6,38481
1305,6,22684,54.1433,44.4885,,13224.5,60055.6
478,6,588,39.2152,,,18855,101929
4611,6,8256,23.6067,,32.0434,5621.06,26347.1
1316,6,6980,33.8412,,,5460.37,36995.9
3109,6,5526,39.0481,,,12462.5,24697.7
575,6,3890,62.2637,,,28078.2,98313.2
324,6,2047,12.6146,,,5901.08,50808.5
4478,6,1588,29.3915,,,4857.98,17035.8
4156,6,15756,27.7746,,,9877.52,26024.3
5218,6,25634,22.5051,,,5041.89,27026.7
2617,6,29748,35.0335,,,,27364.5
1944,6,29514,33.1081,,,22263.9,32547.4
2091,6,12884,36.4634,,,18719.4,28014.7
550,6,21830,27.7313,,,2422.89,18751.4
2352,6,21217,41.3581,,,14817.9,20221.7
2037,6,15728,16.5491,,,13371.6,36700
5207,6,16010,38.4491,,,24645.4,27225.8
2139,6,9914,22.658,,,14850.8,32089.5
1154,6,4768,37.1033,,,42248.4,80785.7
3663,6,2348,31.6449,,,31509.6,49411.1
4960,6,21968,23.511,,,12887.6,24699.1
3313,6,25771,29.0176,,,4845.7,22049.7
996,6,18801,59.0257,,,7100.23,36957.1
1229,6,21436,13.8856,,,2151.61,23199.5
2959,6,21127,32.2806,,,4210.81,20540.2
2794,6,21105,35.4949,,,35950.2,72138.7
5362,6,20878,32.6656,,,15999,30539.9
278,6,11678,15.0025,,,14854.4,42459
3012,6,11891,21.3546,,,54021.9,27844.9
1854,6,10696,45.4232,,,8625.43,27633.6
4928,6,20656,34.7739,34.8236,,63422,129722
407,6,19459,41.2496,34.1697,67.8573,229723,520109
868,6,14890,37.4683,,,12860.5,62672.7
4788,6,18838,34.7594,,39.0495,79813.7,96653.5
2315,6,18731,28.5353,,,7574.33,20235
3641,6,30697,25.8776,,,18998.5,44769.9
265,6,1585,25.9532,,,16212.6,27614.1
1976,6,1558,40.262,33.2146,,48956.4,79904.8
413,6,1416,18.0351,,,10418.9,29890.4
11073,6,16793,30.175,,,4435.89,33609.6
3844,6,1516,33.2979,,,8191.17,18820.3
3103,6,4580,40.8517,,,11076.5,25802.5
1861,6,11322,43.4322,,,31218.3,42950.5
1739,6,1354,34.8762,,,10717.5,25036.9
982,6,18166,44.5359,,,4691.15,16874.9
2897,6,17815,44.23,35.4856,,7427.91,19364.2
876,6,15047,50.6317,34.8649,,48926.9,149059
3986,6,17276,28.838,,,5583.88,24994.5
3856,6,3101,47.6508,,,42107.6,73647.2
973,6,17911,43.1616,28.4968,,66611,165735
3196,6,970,79.6606,61.2853,,15202.1,62970.5
3218,6,4760,58.5006,,,2107.62,17196.6
3862,6,4153,53.0412,,,9129.06,46264.6
1202,6,26700,22.8819,,,16962.3,26373.9
926,6,16671,50.0756,,,12485.7,40704.5
3066,6,19768,9.01799,,,8425.93,27874.5
4475,6,30818,39.2296,33.5019,51.6601,607397,790195
4205,6,3444,64.5151,,,13927.8,33567.9
